$ calino show-summary --file cube-meta.ctf --show-mipmaps true
calino 1.0 texture: 256×256×1 R8:G8:B8:A8 FIXED_POINT_NORMALIZED_UNSIGNED little-endian (8 mipmap levels, 48 images)
mipMapCube (level 7) (face X_POSITIVE) (offset 1408) (size-compressed 16) (size-uncompressed 16) (crc32 0x8332c492)
mipMapCube (level 7) (face X_NEGATIVE) (offset 1440) (size-compressed 16) (size-uncompressed 16) (crc32 0x8fe06bb7)
mipMapCube (level 7) (face Y_POSITIVE) (offset 1472) (size-compressed 16) (size-uncompressed 16) (crc32 0xd3f472a3)
mipMapCube (level 7) (face Y_NEGATIVE) (offset 1504) (size-compressed 16) (size-uncompressed 16) (crc32 0xb08db8a4)
mipMapCube (level 7) (face Z_POSITIVE) (offset 1536) (size-compressed 16) (size-uncompressed 16) (crc32 0xa5cbe1de)
mipMapCube (level 7) (face Z_NEGATIVE) (offset 1568) (size-compressed 16) (size-uncompressed 16) (crc32 0x295a12e7)
mipMapCube (level 6) (face X_POSITIVE) (offset 1600) (size-compressed 64) (size-uncompressed 64) (crc32 0x408e6878)
mipMapCube (level 6) (face X_NEGATIVE) (offset 1664) (size-compressed 64) (size-uncompressed 64) (crc32 0x6c76c24c)
mipMapCube (level 6) (face Y_POSITIVE) (offset 1728) (size-compressed 64) (size-uncompressed 64) (crc32 0x7d9fa7dd)
mipMapCube (level 6) (face Y_NEGATIVE) (offset 1792) (size-compressed 64) (size-uncompressed 64) (crc32 0x2801e0b0)
mipMapCube (level 6) (face Z_POSITIVE) (offset 1856) (size-compressed 64) (size-uncompressed 64) (crc32 0xd89509c2)
mipMapCube (level 6) (face Z_NEGATIVE) (offset 1920) (size-compressed 64) (size-uncompressed 64) (crc32 0x7c21fc8e)
mipMapCube (level 5) (face X_POSITIVE) (offset 1984) (size-compressed 256) (size-uncompressed 256) (crc32 0x2f6ae7d4)
mipMapCube (level 5) (face X_NEGATIVE) (offset 2240) (size-compressed 256) (size-uncompressed 256) (crc32 0x2db32320)
mipMapCube (level 5) (face Y_POSITIVE) (offset 2496) (size-compressed 256) (size-uncompressed 256) (crc32 0x5b566c45)
mipMapCube (level 5) (face Y_NEGATIVE) (offset 2752) (size-compressed 256) (size-uncompressed 256) (crc32 0xd9c5b563)
mipMapCube (level 5) (face Z_POSITIVE) (offset 3008) (size-compressed 256) (size-uncompressed 256) (crc32 0x9277e9dc)
mipMapCube (level 5) (face Z_NEGATIVE) (offset 3264) (size-compressed 256) (size-uncompressed 256) (crc32 0xd8c5be47)
mipMapCube (level 4) (face X_POSITIVE) (offset 3520) (size-compressed 1024) (size-uncompressed 1024) (crc32 0x338384d4)
